Name,Languages,"Translated (Words)","Target Words","Approved (Words)",Voted,"""+"" votes received","""-"" votes received","Winning (Words)",Joined
"秦思 (xxo0cheese0oxx)","Chinese Traditional",2,4,0,0,0,0,0,"2021-06-06 11:28:35"
xiong,"Chinese Traditional",2,7,0,0,0,0,0,"2021-05-26 06:58:37"
"青楓 (sherry47429921)","Chinese Traditional",2,3,0,0,0,0,0,"2021-05-16 06:19:08"
lingyu1121,"Chinese Traditional",2,5,0,0,0,0,0,"2021-06-04 14:34:36"
"郭昱辰 (Hazu1123)","Chinese Traditional",1,2,0,0,0,0,0,"2021-06-07 09:38:45"
mjbg56423,"Chinese Traditional",1,2,0,0,0,0,0,"2021-03-21 03:47:12"
"gaster_cat吃貨貓 (gaster_cat)","Chinese Traditional",1,8,0,0,0,0,0,"2021-06-07 22:39:23"
"旺財 (yoshikiece)","Chinese Traditional",1,2,0,0,0,0,0,"2021-05-13 02:17:39"
"俞建安 (fsh0524)","Chinese Traditional",1,2,0,0,0,0,0,"2021-05-29 03:19:37"
"goh ly (goh780625)","Chinese Traditional",1,2,0,0,0,0,0,"2021-06-03 22:17:06"
"臭吉士 (a23780886)",,0,0,0,0,3,0,0,"2021-03-14 01:56:03"
"持田哲志 (cytus10285)","Chinese Traditional",0,0,0,42,0,0,0,"2021-05-28 07:03:15"
"餅乾 (Snowflake1002)",,0,0,0,0,10,0,0,"2021-04-07 02:24:37"
"MH Cheung (KamiAso)",,0,0,0,0,2,0,0,"2021-03-20 09:47:34"
"蘑菇菇Mush (Mush1018)","Chinese Traditional",0,0,0,1,0,0,0,"2021-05-12 03:07:45"
"曾健庭 (nash7217)","Chinese Traditional",0,0,0,3,0,0,0,"2021-05-17 02:07:54"
"傲視長空 (albert900625)",,0,0,0,0,4,0,10,"2021-03-21 07:24:15"
"曹恩逢 (SiderealArt)",,0,0,0,0,6,0,0,"2021-03-13 00:48:38"
ZenxiaL.,,0,0,0,0,2,0,2,"2021-05-11 10:38:01"
